name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,18100,208542,OPTIMAL,71,5.4967,129.932,135.429,135.38281,93633.0,21477.0,0.0,1201430.0,774718000.0,2958000.0,3003250.0,84447600.0,8091310.0,3613150.0,13.0,1111740.0,0.0,6210.0,427310.0,247812.0,6999.0,1531440.0,20.0,325102.0,131.0,24.0,63189.0,28063800.0,35.0
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.00181391,0.0032988,0.00511271,45.67188,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,239.0,0.0,,2.0,,113.0,,,77.0,,,,1978.0,
GEOM100a.col,100,992,91,17100,187465,OPTIMAL,66,2.08996,135.394,137.483,119.53516,80920.0,16888.0,0.0,1356640.0,826782000.0,2836240.0,2886200.0,86311800.0,12057600.0,3634260.0,1.0,841005.0,0.0,6580.0,385779.0,202005.0,3876.0,1718560.0,19.0,369105.0,139.0,23.0,51632.0,25585100.0,39.0
c21_2_d2.col,21,105,11,315,1918,OPTIMAL,9,0.0042482,0.00299539,0.0072436,45.50781,1.0,8.0,0.0,,13906.0,204.0,213.0,1347.0,62.0,284.0,2.0,65.0,0.0,,8.0,,209.0,,,25.0,,,,453.0,
GEOM120.col,120,773,73,18000,144309,OPTIMAL,59,0.887321,3.51505,4.40238,94.64844,2480.0,1379.0,0.0,70689.0,23101100.0,83409.0,85359.0,1568430.0,134172.0,138403.0,1.0,37835.0,0.0,321.0,77664.0,76943.0,1692.0,29937.0,23.0,12305.0,17.0,6.0,20592.0,378730.0,2.0
GEOM60b.col,60,366,63,6000,45057,OPTIMAL,41,0.465807,1.0154,1.48121,68.17969,679.0,533.0,0.0,,10512400.0,26112.0,26970.0,509382.0,58015.0,47860.0,1.0,6840.0,0.0,96.0,21221.0,29575.0,1766.0,4977.0,16.0,6241.0,9.0,5.0,7203.0,71070.0,
GEOM20b.col,20,32,16,440,1398,OPTIMAL,13,0.0036368,0.00118368,0.00482048,45.50781,,0.0,0.0,,455.0,3.0,4.0,3.0,0.0,11.0,4.0,,0.0,,,,247.0,,,3.0,,,,0.0,
GEOM30.col,30,50,33,1800,6754,OPTIMAL,28,0.019984,0.00521144,0.0251954,45.57031,,1.0,0.0,,26270.0,141.0,147.0,1103.0,19.0,1085.0,2.0,51.0,0.0,,1.0,,515.0,,,33.0,,,,370.0,
c21_6_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00326048,0.00258088,0.00584137,45.45703,1.0,8.0,0.0,,13906.0,204.0,213.0,1347.0,62.0,284.0,2.0,65.0,0.0,,8.0,,209.0,,,25.0,,,,453.0,
c21_4_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00300735,0.00218973,0.00519708,45.64453,1.0,8.0,0.0,,13906.0,204.0,213.0,1347.0,62.0,284.0,2.0,65.0,0.0,,8.0,,209.0,,,25.0,,,,453.0,
GEOM40.col,40,78,33,2393,9411,OPTIMAL,28,0.0262723,0.00530053,0.0315728,45.58203,,1.0,0.0,,29683.0,142.0,148.0,1108.0,19.0,1379.0,2.0,51.0,0.0,,1.0,,515.0,,,34.0,,,,370.0,
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.00177681,0.00316648,0.00494329,45.58203,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,239.0,0.0,,2.0,,113.0,,,77.0,,,,1978.0,
GEOM60.col,60,185,36,4620,23232,OPTIMAL,33,0.0384991,0.00629474,0.0447938,45.51953,,0.0,0.0,,40142.0,121.0,126.0,925.0,6.0,1697.0,,44.0,0.0,,,,496.0,,,30.0,,,,306.0,
GEOM70b.col,70,488,76,8330,67278,OPTIMAL,47,0.947034,2.86915,3.81619,77.25,2858.0,1326.0,0.0,50892.0,23807700.0,87211.0,89615.0,1738890.0,179483.0,134041.0,9.0,28231.0,0.0,113.0,48392.0,43157.0,2635.0,29710.0,10.0,16816.0,19.0,8.0,10344.0,427570.0,2.0
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.00176758,0.00318198,0.00494956,45.52734,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,239.0,0.0,,2.0,,113.0,,,77.0,,,,1978.0,
GEOM120b.col,120,1491,123,26280,341216,OPTIMAL,83,6.55405,945.532,952.086,213.76953,425241.0,181633.0,0.0,3617840.0,4304430000.0,14472100.0,14765500.0,459819000.0,47844900.0,19560600.0,2.0,4049570.0,0.0,40396.0,1553510.0,496475.0,6568.0,9785990.0,44.0,1957080.0,307.0,34.0,127664.0,113978000.0,92.0
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.00179733,0.00314044,0.00493778,45.53125,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,239.0,0.0,,2.0,,113.0,,,77.0,,,,1978.0,
GEOM50.col,50,127,36,2993,13169,OPTIMAL,28,0.0494867,0.00755481,0.0570415,45.53125,,2.0,0.0,,51138.0,176.0,184.0,1396.0,34.0,2576.0,3.0,50.0,0.0,,2.0,,622.0,,,49.0,,,,394.0,
GEOM90.col,90,441,54,9900,65091,OPTIMAL,46,0.250138,0.0803498,0.330488,66.26953,27.0,63.0,0.0,,713337.0,3236.0,3332.0,39284.0,2051.0,9922.0,1.0,720.0,0.0,,61.0,,1419.0,112.0,,722.0,1.0,1.0,,8912.0,
GEOM80.col,80,349,54,8000,49335,OPTIMAL,41,0.291851,0.0547495,0.3466,64.15625,20.0,20.0,0.0,,439645.0,1633.0,1685.0,18966.0,858.0,8085.0,5.0,406.0,0.0,,19.0,,1362.0,1.0,,442.0,,,,5361.0,
GEOM90a.col,90,789,80,14220,143765,OPTIMAL,63,1.06379,12.0936,13.1574,95.04297,5537.0,3188.0,0.0,208471.0,83680600.0,329614.0,334837.0,7520650.0,827108.0,410748.0,2.0,108893.0,0.0,539.0,113236.0,94653.0,2218.0,145907.0,17.0,40093.0,40.0,12.0,24161.0,1908400.0,8.0
c21_6_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00326789,0.00219866,0.00546655,46.02734,1.0,8.0,0.0,,13906.0,204.0,213.0,1347.0,62.0,284.0,2.0,65.0,0.0,,8.0,,209.0,,,25.0,,,,453.0,
GEOM90b.col,90,860,109,15930,170317,OPTIMAL,69,3.30881,41.4346,44.7434,119.05078,29181.0,12512.0,0.0,666626.0,276259000.0,1126690.0,1145030.0,28259400.0,2480440.0,1396250.0,7.0,414137.0,0.0,1449.0,286925.0,181568.0,5113.0,576486.0,10.0,131959.0,90.0,20.0,46910.0,7870910.0,22.0
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00542722,0.0069937,0.0124209,45.84375,52.0,5.0,0.0,,38896.0,962.0,980.0,11832.0,74.0,1316.0,,590.0,0.0,,5.0,,121.0,,,214.0,,,,6184.0,
GEOM50a.col,50,238,61,6250,41718,OPTIMAL,50,0.189382,0.433002,0.622384,65.32031,328.0,441.0,0.0,,4604170.0,16273.0,16746.0,233949.0,15203.0,24172.0,4.0,6596.0,0.0,34.0,8992.0,14996.0,1178.0,1775.0,4.0,2551.0,4.0,2.0,3793.0,54946.0,
GEOM20a.col,20,37,24,873,3138,OPTIMAL,20,0.00957419,0.00299341,0.0125676,45.54297,,3.0,0.0,,11935.0,67.0,70.0,308.0,12.0,485.0,4.0,8.0,0.0,,3.0,,364.0,,,20.0,,,,39.0,
GEOM100.col,100,547,64,12500,89546,OPTIMAL,50,0.571004,0.712795,1.2838,78.72656,251.0,470.0,0.0,10.0,5053020.0,16975.0,17522.0,255018.0,18270.0,34462.0,7.0,8524.0,0.0,31.0,20298.0,28292.0,1363.0,2454.0,4.0,3125.0,4.0,2.0,7503.0,59759.0,
GEOM110.col,110,638,64,13750,102299,OPTIMAL,50,0.640079,1.33707,1.97715,84.45703,547.0,707.0,0.0,,9551210.0,30200.0,31024.0,456915.0,31780.0,50615.0,7.0,16782.0,0.0,68.0,45313.0,61616.0,1467.0,4686.0,7.0,5614.0,10.0,5.0,16521.0,115071.0,
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.00144402,0.00221652,0.00366053,45.48438,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,239.0,0.0,,2.0,,113.0,,,77.0,,,,1978.0,
c21_8_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00344311,0.0022254,0.00566852,45.48438,1.0,8.0,0.0,,13906.0,204.0,213.0,1347.0,62.0,284.0,2.0,65.0,0.0,,8.0,,209.0,,,25.0,,,,453.0,
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.00187473,0.00237274,0.00424747,45.48438,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,239.0,0.0,,2.0,,113.0,,,77.0,,,,1978.0,
GEOM70a.col,70,459,72,10780,89431,OPTIMAL,61,0.41522,4.19666,4.61188,79.42188,2513.0,2574.0,0.0,102090.0,32628200.0,124054.0,126929.0,2421060.0,207880.0,158044.0,1.0,53353.0,0.0,167.0,84434.0,73566.0,1519.0,43598.0,20.0,16644.0,23.0,7.0,19455.0,577520.0,4.0
