name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,weakened,subsumed,minimized,strengthened,vivified,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,66678,402205,OPTIMAL,71,6.41535,126.172,132.587,192.06641,74845.0,10649.0,0.0,679851.0,817484000.0,2787120.0,2827160.0,82004000.0,8068590.0,3323260.0,14.0,1134820.0,1190820.0,0.0,901142.0,6972.0,46042.0,1569580.0,113.0,305865.0,127.0,23.0,364958.0,30920400.0,34.0
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.00174806,0.00333515,0.00508321,45.76172,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,,239.0,0.0,2.0,,113.0,,,77.0,,,,1978.0,
GEOM100a.col,100,992,91,56930,345722,OPTIMAL,66,2.4466,257.015,259.461,167.69531,126250.0,30664.0,0.0,1337610.0,1486370000.0,4965130.0,5049230.0,154343000.0,22457600.0,6150780.0,1.0,957284.0,1518560.0,0.0,874388.0,21837.0,13051.0,3074380.0,282.0,602862.0,176.0,25.0,306519.0,43034700.0,51.0
c21_2_d2.col,21,105,11,555,2878,OPTIMAL,9,0.00344451,0.00212739,0.0055719,45.46875,,6.0,0.0,,18424.0,169.0,179.0,1247.0,75.0,207.0,2.0,,49.0,0.0,6.0,,357.0,,,37.0,,,,398.0,
GEOM120.col,120,773,73,45891,255071,OPTIMAL,59,1.01878,4.63943,5.65821,128.17969,1805.0,1662.0,0.0,100652.0,30991600.0,94189.0,96370.0,1816210.0,167062.0,128922.0,1.0,246399.0,68359.0,0.0,171053.0,425.0,5515.0,34280.0,,13614.0,20.0,8.0,77606.0,420966.0,3.0
GEOM60b.col,60,366,63,15734,83645,OPTIMAL,41,0.564463,1.23704,1.8015,77.64062,523.0,317.0,0.0,15527.0,15924600.0,22760.0,23401.0,424561.0,42920.0,37785.0,3.0,81161.0,14060.0,0.0,36491.0,,7281.0,4232.0,,5108.0,9.0,6.0,25744.0,71983.0,
GEOM20b.col,20,32,16,708,2516,OPTIMAL,13,0.00519655,0.00228558,0.00748214,45.90234,,2.0,0.0,,3971.0,10.0,12.0,19.0,0.0,163.0,1.0,,,0.0,2.0,,299.0,,,6.0,,,,1.0,
GEOM30.col,30,50,33,2428,9612,OPTIMAL,28,0.0183039,0.00628167,0.0245855,45.90234,,3.0,0.0,,42108.0,170.0,176.0,983.0,32.0,661.0,,,45.0,0.0,3.0,,696.0,,,41.0,,,,332.0,
c21_6_d1.col,21,105,11,555,2878,OPTIMAL,9,0.00294804,0.00229842,0.00524646,45.97266,,6.0,0.0,,18424.0,169.0,179.0,1247.0,75.0,207.0,2.0,,49.0,0.0,6.0,,357.0,,,37.0,,,,398.0,
c21_4_d2.col,21,105,11,555,2878,OPTIMAL,9,0.00317378,0.00245605,0.00562983,45.97266,,6.0,0.0,,18424.0,169.0,179.0,1247.0,75.0,207.0,2.0,,49.0,0.0,6.0,,357.0,,,37.0,,,,398.0,
GEOM40.col,40,78,33,3506,14295,OPTIMAL,28,0.0261956,0.00737934,0.033575,45.48438,,3.0,0.0,,50533.0,163.0,169.0,970.0,32.0,946.0,,,45.0,0.0,3.0,,834.0,,,34.0,,,,333.0,
