name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,timed_out,optimality_proven,run_id,source_sha,source_dirty,input_sha256,binary_sha256,command,host,platform,compiler,runner_versions,concurrency,recorded_at,solver,solver_seed,method,time_limit,incremental,incremental_variable,symmetry_breaking,pairwise,width
GEOM100.col,100,547,65,9800,46304,OPTIMAL,50,0.197089,0.522215,0.719304,74.21484,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,91be09009a797c20a68cfb43f78cb01019c2cfdb8915d86e640e95938c315b19,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM100.col 2G -t 3600 --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-14T08:27:17.196093+07:00,CaDiCaL,0,2G,3600,False,,True,False,
GEOM100a.col,100,992,92,13000,90381,OPTIMAL,66,0.665695,222.825,223.491,137.14062,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,630c8dde843161518427f8d7ef92d9d1373781a7e028e2918c0070a86261b0f7,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM100a.col 2G -t 3600 --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-14T17:48:16.030626+07:00,CaDiCaL,0,2G,3600,False,,True,False,
GEOM100b.col,100,1050,122,14000,101401,OPTIMAL,71,1.60864,81.2246,82.8333,126.25,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,14092a37b220ef17894222b959c735f68203286fc653930904fe5f13c3741ce5,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM100b.col 2G -t 3600 --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-14T17:49:39.161674+07:00,CaDiCaL,0,2G,3600,False,,True,False,
GEOM110.col,110,638,65,10780,52713,OPTIMAL,50,0.230907,0.634676,0.865583,76.87109,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,2c127a146238aee20765edfcc35a16dc2fd856e5577bfe6afdc859b7dcaddb49,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM110.col 2G -t 3600 --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-14T17:49:40.106388+07:00,CaDiCaL,0,2G,3600,False,,True,False,
GEOM110a.col,110,1207,110,14960,111887,OPTIMAL,69,1.35178,249.862,251.214,154.21094,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,9c37e408d641c20a1fc834cdfa27c50a49e532300506da93442ee8f07c8f7d3c,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM110a.col 2G -t 3600 --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-14T17:53:51.599778+07:00,CaDiCaL,0,2G,3600,False,,True,False,
GEOM110b.col,110,1256,122,16720,128787,OPTIMAL,77,1.73369,217.522,219.255,151.67578,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,aea172a16bc42de0504b35909d35fce000ded1613c496d28ea719a2d44ba7c51,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM110b.col 2G -t 3600 --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-14T17:57:31.179182+07:00,CaDiCaL,0,2G,3600,False,,True,False,
GEOM120.col,120,773,74,13920,72555,OPTIMAL,59,0.317009,2.06344,2.38045,84.79297,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,26357a9d4e2d8b08cdf055e2a882589f86c22c313fd9674a7f44b405c2aade4a,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM120.col 2G -t 3600 --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-14T17:57:33.616004+07:00,CaDiCaL,0,2G,3600,False,,True,False,
GEOM120a.col,120,1434,110,19440,154915,OPTIMAL,82,1.17795,103.45,104.628,130.84375,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,a920a2c75d8d4fde3a531cb30857d83f245364a0b88d5a18f86336b96bf07ab6,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM120a.col 2G -t 3600 --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-14T17:59:18.503379+07:00,CaDiCaL,0,2G,3600,False,,True,False,
GEOM120b.col,120,1491,124,19680,161503,OPTIMAL,83,1.92059,2216.62,2218.55,259.71094,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,745355ab3817a87504580de4d77629dce60b8f48ea8fb2c5da33224e8ef92e29,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM120b.col 2G -t 3600 --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-14T18:36:17.362779+07:00,CaDiCaL,0,2G,3600,False,,True,False,
GEOM20.col,20,20,25,800,1981,OPTIMAL,21,0.00333403,0.00130423,0.00463827,50.79688,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,08ed5ea76ef3bcb2228f4669162b3aa8c234de6a4dd75c3155a603919bc0167a,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM20.col 2G -t 3600 --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-14T18:36:17.435765+07:00,CaDiCaL,0,2G,3600,False,,True,False,
GEOM20a.col,20,37,25,760,2204,OPTIMAL,20,0.00429431,0.0016767,0.00597101,50.79688,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,5fe086947cbc99c9630087a727d0c9fe00065a9c4f6d6ebea7115ab4a8c161fb,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM20a.col 2G -t 3600 --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-14T18:36:17.545786+07:00,CaDiCaL,0,2G,3600,False,,True,False,
